2376 -6504
5072 -6288
-6520 5008
944 -6408
-1784 264
-4304 -4168
-6104 248
2936 -4288
-3344 2664
224 -2752
-6544 3592
-1432 -4400
2856 -5488
-5784 3400
-5976 2776
-2280 -5472
-1448 -5024
-112 -2040
264 -3040
-968 -1344
-5008 -1896
-6480 4328
1872 -4272
0 -5752
-512 -584
-1888 -1264
1480 -3648
-3024 -4592
-4328 1848
-688 -5152
-224 -24
-3504 -4264
280 -616
-3344 656
1568 -5656
-4184 1072
-6208 5584
-2528 -3680
-1192 248
-48 -4848
-2584 1224
-952 -4816
-4496 -256
-952 -2216
-5456 -2464
3736 -4248
-1864 1568
-3592 2216
-3640 -2384
-2352 424
-1272 -416
-3824 -672
2608 -3520
-3112 248
3184 -5976
-3064 -2856
728 -4960
-2896 -1328
-2432 -3312
3304 -3824
-2856 -3128
-2712 -1336
-3032 1112
-1024 -4344
-2704 -2080
-4656 544
-4088 -1504
-4640 -1272
-6416 984
-2144 -584
-2760 -2464
-5704 -1248
-2664 -1592
-6520 2976
-5592 5136
1216 -4328
2288 -5552
-4704 3008
-1880 -2704
-512 -4728
-1640 -3760
-3992 -64
-2336 -568
-2960 -5312
768 -5776
-2128 -2152
-4800 3608
1264 -5440
-472 -2872
1832 -2040
2336 -5048
-2360 -8
-5792 1144
-3112 -64
4280 -4808
-2176 -4928
-4376 -3056
-1752 -3072
-5384 -656
2024 -3600
-3824 -384
152 -4528
-1328 1080
-4016 2936
-5000 816
3016 -6520
-2216 -1872
-5456 2896
-1888 -128
-4208 -1112
-560 -2120
-672 -3672
-4888 -2672
-760 -4168
1136 -2024
2560 -2880
-4024 -2024
-400 -3152
-288 -1688
-832 -3072
-1608 -1784
-2632 856
-5032 336
2264 -4544
3664 -6360
-3992 560
776 -3968
-3088 -2176
-5352 -3016
-416 -6024
-1864 -592
-6376 1832
-3440 -2088
480 -2000
-5576 4320
-3168 -408
-4176 -424
-2720 200
-3792 1808
1496 -5048
-224 -2384
-5328 2208
1056 -2544
800 -2984
512 -4528
-1424 -3016
-152 -2896
-3760 -2880
-704 -3528
-5600 -1880
1288 -1480
-3496 -448
1664 -2520
-2240 -2664
4288 -5600
-1520 -872
-2112 -1368
-632 -1624
-3680 -1824
-2440 -1168
-4848 -3624
-1208 -3464
-3472 880
592 -5384
640 -3736
5376 -5720
-4104 3704
-2912 1864
-2296 -4392
-3808 -1336
1808 -6408
-2856 -3480
952 -3584
-1576 -2728
-6056 3864
-1136 -3160
1008 -3168
-1904 -2312
-5400 1816
-2600 -1048
-4448 1344
-5440 2544
-5888 -600
-496 -3968
-2512 -320
-4248 -3584
-3200 -696
-2336 -1288
1392 -2992
-1024 -5496
-3896 920
-6008 1592
-2096 -3928
4360 -6312
-696 -72
-1680 -1456
-3816 152
-4992 2496
-40 -4192
-4624 176
-584 -2520
-3432 336
-5616 472
-1880 -3400
-3072 -1656
-3664 -664
-4816 2096
568 -2912
-3992 304
-4352 -2432
128 -3312
-3328 -1024
1864 -3072
-40 -5344
4776 -5256
-4728 1656
-2560 -2888
-1216 -2792
1552 -4360
1616 -6120
-3456 -3680
-3400 -256
-3528 3312
408 -4952
-5048 1616
-1944 -1976
2464 -6096
-3352 48
392 -3824
-3328 -1568
-4248 48
-2856 -4136
-3944 -3160
-5088 1192
-5272 3312
2192 -2656
-2072 -1592
-6488 1504
-1168 -2504
-1072 -3744
392 -6184
-936 -1840
504 -2440
-672 -2904
-2712 -832
1936 -5240
-3736 -1000
-2360 -888
-5880 2000
-1656 -5616
-1272 -1736
-3688 1384
3664 -5072
-912 -3392
2384 -3928
-720 600
-4440 480
-4192 792
-2344 -2392
-4520 856
-904 -2456
-2056 -968
4904 -5696
-2464 1728
1128 -5056
-1304 -1384
-5976 4936
704 -4624
-6608 2256
48 -3856
-456 -3480
-400 -1192
2224 -3192
-1704 -2056
-2680 2384
-3336 1856
-5536 0
-4056 1672
-3520 -1240
1224 -3416
-3240 -3264
-864 -2680
1280 -5904
1344 -4704
-216 -3368
-1536 -3456
-4024 2464
-1272 -2232
-4488 2464
1664 -3280
-1568 -2424
-3192 -3920
-3992 -3936
712 -1392
-4832 4368
-5416 1392
-336 -4328
-2944 -568
3304 -4720
-344 -3760
-2472 -1848
-1848 -4288
-4608 -784
-96 -3120
-2864 -224
-3672 520
-1096 -784
-2872 536
-6096 2384
-1032 -5968
-2168 -3088
-5232 -1408
3752 -5416
-3408 1272
488 -4016
376 -4264
-3448 -2800
432 -3520
192 -3592
-1944 904
-3040 -1080
-2624 -632
-3600 -4936
160 -1248
1792 -4760
-3408 -1872
-5432 888
-6024 4512
-6568 2576
-4048 -2648
-640 -3232
-3128 -920
-6016 -232
976 -4712
-2160 2008
2824 -4840
-6000 728
-2312 -1592
-3648 -168
928 -4304
-3520 -3168
-3608 -1568
1936 -5720
1208 -3896
-80 -3624
-1424 -3216
-4768 1128
-4232 400
-3888 -4464
-2848 -1056
-2168 -3528
-5040 -1048
-3824 -3616
712 -920
-5360 3928
680 -4248
-4744 -3440
-3216 -1296
-5720 2472
-208 -3968
-1328 -1992
-3144 2280
1632 -3960
-1592 -2224
-2904 -776
-3592 72
-960 -2832
-3368 -720
776 -3376
-4992 -320
-2872 -1768
464 -3264
3760 -5944
-3096 1520
-5160 4824
3200 -3424
-4480 -1848
-3528 -728
1616 -5256
-1488 720
-1056 -2960
-1392 -2576
2744 -5912
-1904 -1696
1328 -4960
-5656 1696
-5304 600
200 -4072
2096 -6016
-3248 -2344
-384 -3608
-4024 -752
1736 -3368
3264 -5328
-2192 1352
3104 -5088
-2464 -2176
-3144 -1944
-3392 40
-728 -952
-5596 1480
